Start time,End Time,Loadshedding number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.666666667,0.75,4,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4
0.666666667,0.75,5,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7
0.666666667,0.75,6,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11
0.666666667,0.75,7,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15
0.666666667,0.75,8,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3
0.75,0.833333333,1,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9
0.75,0.833333333,2,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13
0.75,0.833333333,3,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1
0.75,0.833333333,4,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5
0.75,0.833333333,5,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8
0.75,0.833333333,6,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12
0.75,0.833333333,7,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16
0.75,0.833333333,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4
0.833333333,0.916666667,1,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10
0.833333333,0.916666667,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14
0.833333333,0.916666667,3,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2
0.833333333,0.916666667,4,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6
0.833333333,0.916666667,5,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9
0.833333333,0.916666667,6,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13
0.833333333,0.916666667,7,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1
0.833333333,0.916666667,8,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5
0.916666667,1,1,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11
0.916666667,1,2,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15
0.916666667,1,3,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3
0.916666667,1,4,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7
0.916666667,1,5,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6,2,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10
0.916666667,1,6,15,11,7,3,16,12,8,4,1,13,9,5,2,14,10,6,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14
0.916666667,1,7,3,15,11,7,4,16,12,8,5,1,13,9,6,2,14,10,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2
0.916666667,1,8,7,3,15,11,8,4,16,12,9,5,1,13,10,6,2,14,11,7,3,15,12,8,4,16,13,9,5,1,14,10,6
